name,dy_cd,glm_aed,gotm_wet,gotm_fabm,name_text,name_full,name_parse,units,conversion_aed,default,derived,derived_from,keywords
CHM_oxymom,,,,,Metalimnetic oxygen minima,Metalimnetic_oxygen_minima_mg/L,Metalimnetic~oxygen~minima~(mg~L^-1),mg/L,1,,TRUE,CHM_oxy,metalimnetic oxygen minima|CHM_oxymom
CHM_oxynal,,,,,Number of anoxic layers,Number_of_anoxic_layers,Number~of~anoxic~layers,1,1,,TRUE,CHM_oxy,anoxic layers|CHM_oxynal
PHS_frp,PO4,PHS_frp,abiotic_water_sPO4W,instances/abiotic_water/initialization/sPO4W,Phosphate,Phosphate-P_g/m3,Phosphate-P~(g~m^-3),g/m^3,0.03097376,1.00E-03,FALSE,NA,phosphate|PHS_frp
PHS_dop,DOPL,OGM_dop,abiotic_water_sPDOMW,instances/abiotic_water/initialization/sPDOMW,Dissolved organic P,Dissolved_organic_P_g/m3,Dissolved~organic~(g~m^-3),g/m^3,0.03097376,4.00E-05,FALSE,NA,dissolved organic P|PHS_dop
PHS_dopr,DOPR,,,,,,,,0.03097376,,FALSE,NA,dissolved organic P residual|PHS_dopr
PHS_pop,POPL,OGM_pop,abiotic_water_sPPOMW,instances/abiotic_water/initialization/sPPOMW,Particulate organic P,Particulate_organic_P_g/m3,Particulate~organic~(g~m^-3),g/m^3,0.03097376,1.60E-04,FALSE,NA,particulate organic P|PHS_pop
PHS_popr,POPR,,,,,,,,0.03097376,,FALSE,NA,particulate organic P residual|PHS_popr
PHS_pip,PIP,PHS_frp_ads,abiotic_water_sPAIMW,instances/abiotic_water/initialization/sPAIMW,Particulate inorganic P,Particulate_inorganic_P_g/m3,Particulate~inorganic~P~(g~m^-3),g/m^3,0.03097376,6.00E-04,FALSE,NA,particulate inorganic P|PHS_pip
PHS_tp,TP,TOT_tp,wet_totP_calculator_result,,Total phosphorus,Total_phosphorus_g/m3,Total~phosphorus~(g~m^-3),g/m^3,0.03097376,,FALSE,NA,total phosphorus|PHS_tp
NIT_amm,NH4,NIT_amm,abiotic_water_sNH4W,instances/abiotic_water/initialization/sNH4W,Ammoniacal nitrogen,Ammoniacal_nitrogen_g/m3,Ammoniacal~nitrogen~(g~m^-3),g/m^3,0.0140067,0.004,FALSE,NA,ammoniacal nitrogen|NH3|NH4|NIT_amm
