Date,outflow
2020-06-20,8641.24848307701
2020-06-21,8423.81119205038
2020-06-22,8166.15891201994
2020-06-23,6713.83916939689
2020-06-24,6399.19561487091
2020-06-25,6023.03291177618
2020-06-26,5676.80627488722
2020-06-27,5465.21397011327
2020-06-28,5377.94862120349
2020-06-29,5037.01036764065
2020-06-30,4941.24925935657
2020-07-01,5057.33237571308
2020-07-02,4935.1053974667
2020-07-03,4821.77288637339
2020-07-04,9036.93058802375
2020-07-05,20944.3639980776
2020-07-06,24162.6528992316
2020-07-07,25382.0637043747
2020-07-08,25968.43973915
2020-07-09,22128.9103397224
2020-07-10,10534.8623437254
2020-07-11,7339.75568472529
2020-07-12,6262.32478236498
2020-07-13,24082.9800614345
2020-07-14,26577.8421554912
2020-07-15,31380.1298009195
2020-07-16,38067.2760710752
2020-07-17,41025.8263414563
2020-07-18,24642.3215308535
2020-07-19,22976.8072790855
2020-07-20,18818.3811446813
2020-07-21,12738.1758039244
2020-07-22,10345.455088044
2020-07-23,8940.58424672695
2020-07-24,9961.24102103978
2020-07-25,10386.3634437222
2020-07-26,12124.8550383477
2020-07-27,14317.9827826831
2020-07-28,15056.5972874968
2020-07-29,13681.4116958604
2020-07-30,13076.2340705322
2020-07-31,11626.3932560873
2020-08-01,9414.0588684158
2020-08-02,12167.9758290424
2020-08-03,27388.9595794692
2020-08-04,34405.003691357
2020-08-05,40308.3551408132
2020-08-06,44658.5173626774
2020-08-07,43717.9312053659
2020-08-08,34938.0000292445
2020-08-09,30038.3720367334
2020-08-10,24845.9891425374
2020-08-11,21730.1035603417
2020-08-12,24073.780786175
2020-08-13,21719.5532046621
2020-08-14,21556.9354958738
2020-08-15,21543.614555583
2020-08-16,24311.2375489951
2020-08-17,22145.3758243894
2020-08-18,19317.5877966569
2020-08-19,18142.9439902058
2020-08-20,17688.2204625885
2020-08-21,14173.6209953812
2020-08-22,11939.551587065
2020-08-23,13367.1917019355
2020-08-24,13369.6861556461
2020-08-25,13143.1232718861
2020-08-26,12864.2331144068
2020-08-27,14350.7909848916
2020-08-28,17669.1144216379
2020-08-29,35317.333833003
2020-08-30,44107.1117165605
2020-08-31,49921.0982162799
2020-09-01,51777.9973666411
2020-09-02,50192.0757614981
2020-09-03,35281.5080288255
2020-09-04,29040.6512040189
2020-09-05,24602.9334651702
2020-09-06,21950.3943191404
2020-09-07,18288.8854098908
2020-09-08,17473.9856133317
2020-09-09,19737.905037814
2020-09-10,20106.4743049706
2020-09-11,20090.5952477499
2020-09-12,19849.1734882075
2020-09-13,17652.9215631933
2020-09-14,12796.4857290748
2020-09-15,11345.4906429301
2020-09-16,10742.5598888652
2020-09-17,10939.6474253294
2020-09-18,11924.8636749105
2020-09-19,12074.8176420357
2020-09-20,12746.3396683199
2020-09-21,14260.8611351143
2020-09-22,14312.6888604089
2020-09-23,13115.3524818113
2020-09-24,12722.0447428844
2020-09-25,11971.3783605279
2020-09-26,10033.0639963571
2020-09-27,8959.82106982477
2020-09-28,8364.02533537831
2020-09-29,7968.33283124297
2020-09-30,8391.69601596271
2020-10-01,8418.50323978455
2020-10-02,8284.74176088961
2020-10-03,8071.70323140702
2020-10-04,7860.75404010115
2020-10-05,6489.28520900269
2020-10-06,5743.29620132626
2020-10-07,5323.41090394175
2020-10-08,4981.12098669505
2020-10-09,4628.51501144464
2020-10-10,4264.72557659341
2020-10-11,4245.03641155193
2020-10-12,3959.51112689761
2020-10-13,3732.26141880547
2020-10-14,3476.24869591365
2020-10-15,3264.18362740504
2020-10-16,2780.3892395943
2020-10-17,2461.51920632496
2020-10-18,2229.81973765224
2020-10-19,2071.79565512634
2020-10-20,1935.70167690782
2020-10-21,2532.35951330652
2020-10-22,2727.72500938315
2020-10-23,2775.7327096775
2020-10-24,2746.40750872543
2020-10-25,2740.47469344814
2020-10-26,2095.00525368515
2020-10-27,2499.73863631424
2020-10-28,2465.98530216636
2020-10-29,2478.60411088135
2020-10-30,2480.03185874995
2020-10-31,2365.48877533722
2020-11-01,2248.41444306805
2020-11-02,2313.03012289453
2020-11-03,2306.22508244667
2020-11-04,2295.37454004129
2020-11-05,2338.30736537809
2020-11-06,1881.31309392571
2020-11-07,1775.01585875322
2020-11-08,1691.94278633219
2020-11-09,1556.68033997126
2020-11-10,1438.07359010301
2020-11-11,1211.78653782285
2020-11-12,1009.81164868403
2020-11-13,2127.00019764197
2020-11-14,2562.99940070068
2020-11-15,2690.18346300572
2020-11-16,2930.73692981146
2020-11-17,3113.56298883711
2020-11-18,2241.4618274145
2020-11-19,4218.65754962109
2020-11-20,4590.10187033491
2020-11-21,4826.12833843626
2020-11-22,5052.90369780252
2020-11-23,5143.16907020019
2020-11-24,2993.18768234607
2020-11-25,5076.16804900932
2020-11-26,6168.716266601
2020-11-27,6454.76514297196
2020-11-28,6478.05994657582
2020-11-29,6464.63723532784
2020-11-30,4058.484676311
2020-12-01,2750.44048976896
2020-12-02,2222.57297029832
2020-12-03,1785.21113861409
2020-12-04,1492.49121857856
2020-12-05,1130.26425387587
2020-12-06,749.350025221806
2020-12-07,441.676462838307
2020-12-08,386.373191719935
2020-12-09,424.131254624789
2020-12-10,771.729187134293
2020-12-11,764.253575951658
2020-12-12,802.498560583105
2020-12-13,715.692860132675
2020-12-14,597.203748258837
2020-12-15,231.488725759551
2020-12-16,214.12010897729
2020-12-17,221.001493018783
2020-12-18,190.313459493293
2020-12-19,69.9282297244547
2020-12-20,56.3079704547156
2020-12-21,170.009234298272
2020-12-22,494.85787774263
2020-12-23,580.859090630049
2020-12-24,705.536861876362
2020-12-25,744.054795137814
2020-12-26,625.151015163847
2020-12-27,258.869445205804
2020-12-28,217.1351268874
2020-12-29,318.373069651025
2020-12-30,972.610718709788
2020-12-31,2461.50968917313
2021-01-01,2849.80729847683
2021-01-02,2983.33486497946
2021-01-03,2869.4843894038
2021-01-04,2122.99648709191
2021-01-05,1883.47799770839
2021-01-06,3062.05936588557
2021-01-07,3142.62901211209
2021-01-08,3308.3671418947
2021-01-09,3692.00568463132
2021-01-10,3003.09874649979
2021-01-11,1640.7038533239
2021-01-12,1595.93692775777
2021-01-13,1578.97605127048
2021-01-14,1382.12760243794
2021-01-15,875.62941840732
2021-01-16,1710.67202821282
2021-01-17,1702.05779955247
2021-01-18,1664.7610370141
2021-01-19,1667.3768776865
2021-01-20,1747.60063468186
2021-01-21,821.639251465272
2021-01-22,684.449474717232
2021-01-23,557.95888812193
2021-01-24,634.753441574126
2021-01-25,1365.07779220662
2021-01-26,1315.69664247269
2021-01-27,1265.87963816247
2021-01-28,1190.03989849771
2021-01-29,883.873557315167
2021-01-30,0
2021-01-31,0
2021-02-01,0
2021-02-02,0
2021-02-03,0
