"ID","Name","Area","Region","Geomorphic type","Depth","Depth measurement","Data","aeme_file"
"LID 45935","Okaihau",5.68,"Auckland","Aeolian",11.41,"Measured","Seasonal but Detailed","LID45935"
"LID 45947","Paekawau",3.23,"Auckland","Aeolian",13.82,"Predicted","No data","LID45947"
"LID 46043","Lake Duncan",33.97,"Southland","Glacial",52.79,"Predicted","No data","LID46043"
"LID 46047","Lake Wisely",45.32,"Southland","Glacial",56.97,"Predicted","No data","LID46047"
"LID 46050","LID 46050",5.58,"Southland","Glacial",NA,"Predicted","No data","LID46050"
"LID 46051","Lake Eyles",42.04,"Southland","Glacial",64.96,"Predicted","No data","LID46051"
"LID 46083","LID 46083",7.09,"West Coast","Peat",6.37,"Predicted","No data","LID46083"
"LID 46090","Lake Jumbuck",17.37,"West Coast","Peat",28.95,"Predicted","No data","LID46090"
"LID 46131","Lake Leeb",14.51,"West Coast","Glacial",59.35,"Predicted","No data","LID46131"
"LID 46132","Lake Clarke",24.27,"West Coast","Glacial",80.77,"Predicted","No data","LID46132"
"LID 46138","Lake Greaney",15.93,"West Coast","Glacial",NA,"Predicted","No data","LID46138"
"LID 46140","Lake Ellery",388.76,"West Coast","Glacial",NA,"Predicted","No data","LID46140"
"LID 46141","Lake Mary",6.18,"West Coast","Riverine",30.03,"Predicted","No data","LID46141"
"LID 46142","Minim Mere",5.21,"West Coast","Glacial",NA,"Predicted","No data","LID46142"
"LID 46152","LID 46152",8.7,"West Coast","Glacial",76.41,"Predicted","No data","LID46152"
"LID 46160","Lake Nisson",55.98,"West Coast","Peat",24.36,"Predicted","No data","LID46160"
"LID 46163","Waiatoto",3.91,"West Coast","Shoreline",10.15,"Predicted","No data","LID46163"
"LID 46173","LID 46173",5.92,"West Coast","Shoreline",9.05,"Predicted","No data","LID46173"
"LID 46212","Lake Douglas",64.08,"West Coast","Glacial",84.96,"Predicted","No data","LID46212"
"LID 46265","Tawherikiri W",36.87,"West Coast","Peat",7.52,"Predicted","No data","LID46265"
"LID 46267","Tawherikiri E",4.24,"West Coast","Peat",4.96,"Predicted","No data","LID46267"
"LID 46301","LID 46301",10.18,"West Coast","Shoreline",20.7,"Predicted","No data","LID46301"
"LID 46320","Lake Barra",18.89,"West Coast","Glacial",65.24,"Predicted","No data","LID46320"
"LID 46360","LID 46360",5.8,"Otago","Glacial",NA,"Predicted","No data","LID46360"
"LID 46407","Lake Topsy",9.9,"West Coast","Landslide",44.75,"Predicted","No data","LID46407"
"LID 46484","LID 46484",11.31,"Canterbury","Glacial",NA,"Predicted","No data","LID46484"
"LID 46564","Pukaki",17283.7,"Canterbury","Glacial",103.4,"Measured","Minimal Data","LID46564"
"LID 46608","LID 46608",6.15,"Canterbury","Glacial",10.6,"Predicted","No data","LID46608"
"LID 46630","LID 46630",5.62,"West Coast","Glacial",NA,"Predicted","No data","LID46630"
"LID 46632","Richardson Lake",8.16,"Canterbury","Glacial",NA,"Predicted","No data","LID46632"
"LID 46635","LID 46635",9.84,"West Coast","Glacial",NA,"Predicted","No data","LID46635"
"LID 46651","LID 46651",5.23,"Canterbury","Glacial",NA,"Predicted","No data","LID46651"
